City,Country,lat,lon,Temp,Temp_Min,Temp_Max,Humidity,Cloud,Wind_Speed
hilo,us,19.71,-155.08,71.29,69.8,73.4,88,90,3.36
saskylakh,ru,71.97,114.09,-40.82,-40.82,-40.82,0,12,12.66
bambous virieux,mu,-20.34,57.76,78.8,78.8,78.8,88,75,13.87
zapolyarnyy,ru,69.43,30.82,15.8,15.8,15.8,92,40,2.24
ushuaia,ar,-54.81,-68.31,56.57,53.6,59,62,40,28.86
lebu,cl,-37.62,-73.65,60.35,60.35,60.35,86,0,24.96
cape town,za,-33.93,18.42,69.8,69.8,69.8,83,0,18.34
hobart,au,-42.88,147.33,87.8,87.8,87.8,15,0,13.87
riyadh,sa,24.63,46.72,55.4,55.4,55.4,32,5,4.7
severo-kurilsk,ru,50.68,156.12,22.6,22.6,22.6,100,76,7.85
port elizabeth,za,-33.92,25.57,71.6,71.6,71.6,94,0,3.36
bluff,nz,-46.6,168.33,63.59,63.59,63.59,99,64,2.82
lavrentiya,ru,65.58,-170.99,-3.87,-3.87,-3.87,100,0,9.53
bathsheba,bb,13.22,-59.52,78.8,78.8,78.8,83,40,13.87
rikitea,pf,-23.12,-134.97,80.1,80.1,80.1,100,88,14.45
kahului,us,20.89,-156.47,76.87,75.2,80.6,54,20,27.51
nueva gerona,cu,21.88,-82.8,67.06,67.06,67.06,95,8,16.69
kavaratti,in,10.57,72.64,82.45,82.45,82.45,100,0,3.6
castro,cl,-42.48,-73.76,60.35,60.35,60.35,74,68,4.61
diamantina,br,-18.24,-43.6,71.24,71.24,71.24,38,0,6.62
kuala perlis,my,6.4,100.14,75.25,73.4,77,94,75,3.36
meulaboh,id,4.14,96.13,76.28,76.28,76.28,100,12,5.95
yellowknife,ca,62.45,-114.38,10.4,10.4,10.4,92,90,10.29
flinders,au,-34.58,150.85,77,77,77,36,0,10.29
inhuma,br,-6.67,-41.71,79.11,79.11,79.11,63,48,2.59
atar,mr,20.52,-13.05,48.92,48.92,48.92,43,0,6.85
neryungri,ru,56.66,124.71,-29.38,-29.38,-29.38,42,32,1.36
nikolskoye,ru,59.7,30.79,24.8,24.8,24.8,85,75,6.71
atuona,pf,-9.8,-139.03,78.75,78.75,78.75,100,20,14
soyo,ao,-6.13,12.37,76.64,76.64,76.64,89,76,3.04
businga,cd,3.34,20.89,75.02,75.02,75.02,53,0,4.38
pontian kecil,my,1.48,103.39,76.59,73.4,78.8,88,75,3.36
mezen,ru,65.85,44.24,13.32,13.32,13.32,71,88,8.41
dikson,ru,73.51,80.55,-14.36,-14.36,-14.36,90,32,8.75
port macquarie,au,-31.43,152.91,68,68,68,72,0,5.82
kapaa,us,22.08,-159.32,75.2,75.2,75.2,73,75,18.34
thompson,ca,55.74,-97.86,8.6,8.6,8.6,78,90,3.36
bredasdorp,za,-34.53,20.04,71.6,71.6,71.6,88,92,9.17
adrar,dz,27.87,-0.29,57.2,57.2,57.2,9,0,9.17
aquiraz,br,-3.9,-38.39,80.6,80.6,80.6,83,40,8.05
san patricio,mx,19.22,-104.7,84.2,84.2,84.2,66,40,13.87
punta arenas,cl,-53.16,-70.91,62.6,62.6,62.6,48,40,35.57
busselton,au,-33.64,115.35,61.66,61.66,61.66,100,0,17.92
kampot,kh,10.62,104.18,72.59,72.59,72.59,71,44,7.96
khatanga,ru,71.98,102.47,-35.37,-35.37,-35.37,68,64,15.79
victoria,sc,-4.62,55.45,80.6,80.6,80.6,83,92,9.17
daru,pg,-9.07,143.21,80.19,80.19,80.19,100,80,6.4
consolacion del sur,cu,22.5,-83.51,62.78,62.78,62.78,64,56,11.1
moron,mn,47.38,110.32,-13.37,-13.37,-13.37,54,24,4.5
barrow,us,39.51,-90.4,41.77,39.2,44.6,41,1,11.41
mount gambier,au,-37.83,140.78,93.38,93.38,93.38,24,0,3.6
vaini,to,-21.2,-175.2,86,86,86,74,20,12.44
hermanus,za,-34.42,19.24,66.87,66.87,66.87,95,92,4.72
komsomolskiy,ru,67.55,63.78,-2.52,-2.52,-2.52,86,64,6.62
muriwai beach,nz,-36.82,174.45,71.6,71.6,71.6,88,92,16.11
mitoc,ro,46.38,27.78,17.6,17.6,17.6,100,0,1.12
seymchan,ru,62.93,152.39,-51.03,-51.03,-51.03,0,0,2.48
vilhena,br,-12.74,-60.15,75.2,75.2,75.2,88,20,4.7
nouadhibou,mr,20.93,-17.03,62.6,62.6,62.6,72,0,17.22
manaure,co,11.78,-72.45,81.14,81.14,81.14,95,48,21.83
avarua,ck,-21.21,-159.78,86,86,86,79,75,9.17
ibra,om,22.69,58.55,47.8,47.8,47.8,100,8,2.71
tiksi,ru,71.64,128.87,-48.02,-48.02,-48.02,0,0,4.72
albany,au,-35.02,117.88,62.82,62.82,62.82,75,8,8.52
pangnirtung,ca,66.15,-65.72,-7.61,-7.61,-7.61,52,75,2.24
sola,vu,-13.88,167.55,84.16,84.16,84.16,92,88,9.19
villa union,mx,23.2,-106.23,78.8,78.8,78.8,47,5,9.17
luderitz,na,-26.65,15.16,62.6,62.6,62.6,88,8,13.87
sanary-sur-mer,fr,43.12,5.8,50.52,48.2,53.6,62,0,12.75
longyearbyen,sj,78.22,15.64,30.2,30.2,30.2,74,40,17.22
basco,ph,20.45,121.97,76.06,76.06,76.06,99,64,16.24
